Date,LMP,Node
10/17/2016 3:00:00 PM,21.54,.Z.MAINE
10/17/2016 3:00:00 PM,21.53,.Z.NEWHAMPSHIRE
10/17/2016 3:00:00 PM,21.46,.Z.VERMONT
10/17/2016 3:00:00 PM,21.41,.Z.CONNECTICUT
10/17/2016 3:00:00 PM,20.74,.Z.RHODEISLAND
10/17/2016 3:00:00 PM,20.89,.Z.SEMASS
10/17/2016 3:00:00 PM,23.09,.Z.WCMASS
10/17/2016 3:00:00 PM,105.78,.Z.NEMASSBOST
10/17/2016 4:00:00 PM,19.27,.Z.MAINE
10/17/2016 4:00:00 PM,19.36,.Z.NEWHAMPSHIRE
10/17/2016 4:00:00 PM,19.53,.Z.VERMONT
10/17/2016 4:00:00 PM,19.45,.Z.CONNECTICUT
10/17/2016 4:00:00 PM,18.64,.Z.RHODEISLAND
10/17/2016 4:00:00 PM,18.75,.Z.SEMASS
10/17/2016 4:00:00 PM,21.22,.Z.WCMASS
10/17/2016 4:00:00 PM,107.95,.Z.NEMASSBOST
10/17/2016 5:00:00 PM,21.59,.Z.MAINE
10/17/2016 5:00:00 PM,21.6,.Z.NEWHAMPSHIRE
10/17/2016 5:00:00 PM,21.76,.Z.VERMONT
10/17/2016 5:00:00 PM,21.4,.Z.CONNECTICUT
10/17/2016 5:00:00 PM,20.78,.Z.RHODEISLAND
10/17/2016 5:00:00 PM,20.96,.Z.SEMASS
10/17/2016 5:00:00 PM,23.23,.Z.WCMASS
10/17/2016 5:00:00 PM,107.45,.Z.NEMASSBOST
10/17/2016 6:00:00 PM,53.11,.Z.MAINE
10/17/2016 6:00:00 PM,52.64,.Z.NEWHAMPSHIRE
10/17/2016 6:00:00 PM,52.36,.Z.VERMONT
10/17/2016 6:00:00 PM,51.51,.Z.CONNECTICUT
10/17/2016 6:00:00 PM,51.14,.Z.RHODEISLAND
10/17/2016 6:00:00 PM,51.49,.Z.SEMASS
10/17/2016 6:00:00 PM,52.34,.Z.WCMASS
10/17/2016 6:00:00 PM,84.1,.Z.NEMASSBOST
10/17/2016 7:00:00 PM,43.13,.Z.MAINE
10/17/2016 7:00:00 PM,42.59,.Z.NEWHAMPSHIRE
10/17/2016 7:00:00 PM,42.31,.Z.VERMONT
10/17/2016 7:00:00 PM,41.55,.Z.CONNECTICUT
10/17/2016 7:00:00 PM,41.21,.Z.RHODEISLAND
10/17/2016 7:00:00 PM,41.55,.Z.SEMASS
10/17/2016 7:00:00 PM,42.47,.Z.WCMASS
10/17/2016 7:00:00 PM,80.91,.Z.NEMASSBOST
10/17/2016 8:00:00 PM,25.91,.Z.MAINE
10/17/2016 8:00:00 PM,25.71,.Z.NEWHAMPSHIRE
10/17/2016 8:00:00 PM,25.73,.Z.VERMONT
10/17/2016 8:00:00 PM,25.11,.Z.CONNECTICUT
10/17/2016 8:00:00 PM,24.83,.Z.RHODEISLAND
10/17/2016 8:00:00 PM,25.07,.Z.SEMASS
10/17/2016 8:00:00 PM,26.32,.Z.WCMASS
10/17/2016 8:00:00 PM,79.84,.Z.NEMASSBOST
10/17/2016 9:00:00 PM,22.64,.Z.MAINE
10/17/2016 9:00:00 PM,22.53,.Z.NEWHAMPSHIRE
10/17/2016 9:00:00 PM,22.56,.Z.VERMONT
10/17/2016 9:00:00 PM,22.27,.Z.CONNECTICUT
10/17/2016 9:00:00 PM,22.04,.Z.RHODEISLAND
10/17/2016 9:00:00 PM,22.25,.Z.SEMASS
10/17/2016 9:00:00 PM,22.31,.Z.WCMASS
10/17/2016 9:00:00 PM,22.5,.Z.NEMASSBOST
10/17/2016 10:00:00 PM,23.04,.Z.MAINE
10/17/2016 10:00:00 PM,22.91,.Z.NEWHAMPSHIRE
10/17/2016 10:00:00 PM,22.92,.Z.VERMONT
10/17/2016 10:00:00 PM,22.79,.Z.CONNECTICUT
10/17/2016 10:00:00 PM,22.6,.Z.RHODEISLAND
10/17/2016 10:00:00 PM,22.76,.Z.SEMASS
10/17/2016 10:00:00 PM,22.78,.Z.WCMASS
